field,description,data_type,source
series_success,"1: scored touchdown, gained enough yards for first down.",,nflfastR::field_descriptions
shotgun,Binary indicator for whether or not the play was in shotgun formation.,,nflfastR::field_descriptions
side_of_field,String abbreviation for which team's side of the field the team with possession is currently on.,,nflfastR::field_descriptions
solo_tackle,Binary indicator if the play had a solo tackle (could be multiple due to fumbles).,,nflfastR::field_descriptions
solo_tackle_1_player_id,Unique identifier of one of the players with a solo tackle.,,nflfastR::field_descriptions
solo_tackle_1_player_name,String name of one of the players with a solo tackle.,,nflfastR::field_descriptions
solo_tackle_1_team,Team of one of the players with a solo tackle.,,nflfastR::field_descriptions
solo_tackle_2_player_id,Unique identifier of one of the players with a solo tackle.,,nflfastR::field_descriptions
solo_tackle_2_player_name,String name of one of the players with a solo tackle.,,nflfastR::field_descriptions
solo_tackle_2_team,Team of one of the players with a solo tackle.,,nflfastR::field_descriptions
sp,Binary indicator for whether or not a score occurred on the play.,,nflfastR::field_descriptions
special,Binary indicator if the play was a special teams play.,,nflfastR::field_descriptions
special_teams_play,"Binary indicator for whether play is special teams play from NFL source. Available 2011 and beyond with source ""nfl"".",,nflfastR::field_descriptions
spread_line,"The closing spread line for the game. A positive number means the home team was favored by that many points, a negative number means the away team was favored by that many points. (Source: Pro-Football-Reference)",,nflfastR::field_descriptions
st_play_type,"Type of special teams play from NFL source. Available 2011 and beyond with source ""nfl"".",,nflfastR::field_descriptions
stadium,Game site name.,,nflfastR::field_descriptions
stadium_id,ID of the stadium the game was played in. (Source: Pro-Football-Reference),,nflfastR::field_descriptions
start_time,Kickoff time in eastern time zone.,,nflfastR::field_descriptions
success,Binary indicator wheter epa > 0 in the given play.,,nflfastR::field_descriptions
surface,What type of ground the game was played on. (Source: Pro-Football-Reference),,nflfastR::field_descriptions
tackle_for_loss_1_player_id,Unique identifier for one of the potential players with the tackle for loss.,,nflfastR::field_descriptions
tackle_for_loss_1_player_name,String name for one of the potential players with the tackle for loss.,,nflfastR::field_descriptions
tackle_for_loss_2_player_id,Unique identifier for one of the potential players with the tackle for loss.,,nflfastR::field_descriptions
